FULL_DATE,DATE,DAY,MONTH,YEAR,HOUR,WEEKDAY,WEEKEND,O3,NO2,NOX,PM10,PM10_Q,QUALITY,RANGE
2022-01-01 00:00:00,01/01/2022,1,1,2022,0,6,Weekend,15,35,88,212,Extremandamente desfavorable,BAD,19-5
2022-01-01 01:00:00,01/01/2022,1,1,2022,1,6,Weekend,7,31,78,168,Extremandamente desfavorable,BAD,19-5
2022-01-01 02:00:00,01/01/2022,1,1,2022,2,6,Weekend,5,29,85,156,Extremandamente desfavorable,BAD,19-5
2022-01-01 03:00:00,01/01/2022,1,1,2022,3,6,Weekend,2,26,63,128,Muy desfavorable,BAD,19-5
2022-01-01 04:00:00,01/01/2022,1,1,2022,4,6,Weekend,2,23,54,112,Muy desfavorable,BAD,19-5
2022-01-01 05:00:00,01/01/2022,1,1,2022,5,6,Weekend,2,20,42,108,Muy desfavorable,BAD,19-5
2022-01-01 06:00:00,01/01/2022,1,1,2022,6,6,Weekend,2,19,56,110,Muy desfavorable,BAD,6-18
2022-01-01 07:00:00,01/01/2022,1,1,2022,7,6,Weekend,2,18,54,127,Muy desfavorable,BAD,6-18
2022-01-01 08:00:00,01/01/2022,1,1,2022,8,6,Weekend,2,18,50,102,Muy desfavorable,BAD,6-18
2022-01-01 09:00:00,01/01/2022,1,1,2022,9,6,Weekend,2,17,42,80,Desfavorable,BAD,6-18
2022-01-01 10:00:00,01/01/2022,1,1,2022,10,6,Weekend,2,17,42,67,Desfavorable,BAD,6-18
2022-01-01 11:00:00,01/01/2022,1,1,2022,11,6,Weekend,3,17,35,56,Desfavorable,BAD,6-18
2022-01-01 12:00:00,01/01/2022,1,1,2022,12,6,Weekend,15,18,32,44,Regular,GOOD,6-18
2022-01-01 13:00:00,01/01/2022,1,1,2022,13,6,Weekend,31,16,27,34,Razonablemente buena,GOOD,6-18
2022-01-01 14:00:00,01/01/2022,1,1,2022,14,6,Weekend,45,15,26,33,Razonablemente buena,GOOD,6-18
2022-01-01 15:00:00,01/01/2022,1,1,2022,15,6,Weekend,62,15,25,39,Razonablemente buena,GOOD,6-18
2022-01-01 16:00:00,01/01/2022,1,1,2022,16,6,Weekend,63,15,24,35,Razonablemente buena,GOOD,6-18
2022-01-01 17:00:00,01/01/2022,1,1,2022,17,6,Weekend,54,18,27,32,Razonablemente buena,GOOD,6-18
2022-01-01 18:00:00,01/01/2022,1,1,2022,18,6,Weekend,41,24,33,31,Razonablemente buena,GOOD,6-18
2022-01-01 19:00:00,01/01/2022,1,1,2022,19,6,Weekend,26,23,32,42,Regular,GOOD,19-5
2022-01-01 20:00:00,01/01/2022,1,1,2022,20,6,Weekend,8,27,39,79,Desfavorable,BAD,19-5
2022-01-01 21:00:00,01/01/2022,1,1,2022,21,6,Weekend,3,35,66,97,Desfavorable,BAD,19-5
2022-01-01 22:00:00,01/01/2022,1,1,2022,22,6,Weekend,2,38,72,115,Muy desfavorable,BAD,19-5
2022-01-01 23:00:00,01/01/2022,1,1,2022,23,6,Weekend,2,27,45,106,Muy desfavorable,BAD,19-5
2022-01-02 00:00:00,02/01/2022,2,1,2022,0,7,Weekend,2,22,37,87,Desfavorable,BAD,19-5
2022-01-02 01:00:00,02/01/2022,2,1,2022,1,7,Weekend,2,19,32,73,Desfavorable,BAD,19-5
2022-01-02 02:00:00,02/01/2022,2,1,2022,2,7,Weekend,2,20,35,56,Desfavorable,BAD,19-5
2022-01-02 03:00:00,02/01/2022,2,1,2022,3,7,Weekend,2,17,28,51,Desfavorable,BAD,19-5
2022-01-02 04:00:00,02/01/2022,2,1,2022,4,7,Weekend,2,18,27,45,Regular,GOOD,19-5
2022-01-02 05:00:00,02/01/2022,2,1,2022,5,7,Weekend,2,15,23,44,Regular,GOOD,19-5
2022-01-02 06:00:00,02/01/2022,2,1,2022,6,7,Weekend,2,14,24,35,Razonablemente buena,GOOD,6-18
2022-01-02 07:00:00,02/01/2022,2,1,2022,7,7,Weekend,2,14,27,37,Razonablemente buena,GOOD,6-18
2022-01-02 08:00:00,02/01/2022,2,1,2022,8,7,Weekend,2,15,33,37,Razonablemente buena,GOOD,6-18
2022-01-02 09:00:00,02/01/2022,2,1,2022,9,7,Weekend,2,16,36,37,Razonablemente buena,GOOD,6-18
2022-01-02 10:00:00,02/01/2022,2,1,2022,10,7,Weekend,2,19,52,39,Razonablemente buena,GOOD,6-18
2022-01-02 11:00:00,02/01/2022,2,1,2022,11,7,Weekend,3,20,48,32,Razonablemente buena,GOOD,6-18
2022-01-02 12:00:00,02/01/2022,2,1,2022,12,7,Weekend,13,22,45,27,Razonablemente buena,GOOD,6-18
2022-01-02 13:00:00,02/01/2022,2,1,2022,13,7,Weekend,25,20,37,26,Razonablemente buena,GOOD,6-18
2022-01-02 14:00:00,02/01/2022,2,1,2022,14,7,Weekend,39,18,32,25,Razonablemente buena,GOOD,6-18
2022-01-02 15:00:00,02/01/2022,2,1,2022,15,7,Weekend,50,17,28,23,Razonablemente buena,GOOD,6-18
