DATE,DAY,MONTH,YEAR,HOUR,WEEKDAY,WEEKEND,O3,NO2,NOX,PM10,PM10_Q,PM25,PM25_Q,QUALITY
01/01/2021,1,1,2021,0,5,Weekday,40,27,46,55,Desfavorable,37,Desfavorable,BAD
02/01/2021,2,1,2021,0,6,Weekend,39,26,52,13,Buena,12,Razonablemente buena,GOOD
03/01/2021,3,1,2021,0,7,Weekend,45,24,45,28,Razonablemente buena,16,Razonablemente buena,GOOD
04/01/2021,4,1,2021,0,1,Weekday,32,37,82,30,Razonablemente buena,23,Regular,GOOD
05/01/2021,5,1,2021,0,2,Weekday,31,47,105,35,Razonablemente buena,28,Desfavorable,GOOD
06/01/2021,6,1,2021,0,3,Weekday,37,26,41,33,Razonablemente buena,20,Razonablemente buena,GOOD
07/01/2021,7,1,2021,0,4,Weekday,33,32,59,17,Buena,12,Razonablemente buena,GOOD
08/01/2021,8,1,2021,0,5,Weekday,30,33,63,15,Buena,9,Buena,GOOD
09/01/2021,9,1,2021,0,6,Weekend,32,28,48,17,Buena,14,Razonablemente buena,GOOD
10/01/2021,10,1,2021,0,7,Weekend,29,26,45,33,Razonablemente buena,28,Desfavorable,GOOD
11/01/2021,11,1,2021,0,1,Weekday,29,35,72,28,Razonablemente buena,22,Regular,GOOD
12/01/2021,12,1,2021,0,2,Weekday,34,40,74,22,Razonablemente buena,19,Razonablemente buena,GOOD
13/01/2021,13,1,2021,0,3,Weekday,33,44,92,33,Razonablemente buena,26,Desfavorable,GOOD
14/01/2021,14,1,2021,0,4,Weekday,32,41,87,39,Razonablemente buena,28,Desfavorable,GOOD
15/01/2021,15,1,2021,0,5,Weekday,46,29,48,19,Buena,8,Buena,GOOD
16/01/2021,16,1,2021,0,6,Weekend,46,28,44,34,Razonablemente buena,20,Razonablemente buena,GOOD
17/01/2021,17,1,2021,0,7,Weekend,39,26,40,31,Razonablemente buena,20,Razonablemente buena,GOOD
18/01/2021,18,1,2021,0,1,Weekday,34,39,96,32,Razonablemente buena,23,Regular,GOOD
19/01/2021,19,1,2021,0,2,Weekday,30,35,70,54,Desfavorable,29,Desfavorable,BAD
20/01/2021,20,1,2021,0,3,Weekday,24,37,91,67,Desfavorable,44,Desfavorable,BAD
21/01/2021,21,1,2021,0,4,Weekday,31,33,87,47,Regular,30,Desfavorable,GOOD
22/01/2021,22,1,2021,0,5,Weekday,48,22,44,16,Buena,8,Buena,GOOD
23/01/2021,23,1,2021,0,6,Weekend,41,24,43,17,Buena,13,Razonablemente buena,GOOD
24/01/2021,24,1,2021,0,7,Weekend,46,19,32,12,Buena,11,Razonablemente buena,GOOD
25/01/2021,25,1,2021,0,1,Weekday,31,37,85,22,Razonablemente buena,18,Razonablemente buena,GOOD
26/01/2021,26,1,2021,0,2,Weekday,38,25,38,25,Razonablemente buena,12,Razonablemente buena,GOOD
27/01/2021,27,1,2021,0,3,Weekday,31,27,60,24,Razonablemente buena,12,Razonablemente buena,GOOD
28/01/2021,28,1,2021,0,4,Weekday,26,29,55,15,Buena,14,Razonablemente buena,GOOD
29/01/2021,29,1,2021,0,5,Weekday,14,34,72,24,Razonablemente buena,17,Razonablemente buena,GOOD
30/01/2021,30,1,2021,0,6,Weekend,37,21,37,20,Buena,12,Razonablemente buena,GOOD
31/01/2021,31,1,2021,0,7,Weekend,51,20,32,12,Buena,12,Razonablemente buena,GOOD
01/02/2021,1,2,2021,0,1,Weekday,54,22,36,25,Razonablemente buena,8,Buena,GOOD
02/02/2021,2,2,2021,0,2,Weekday,38,29,56,18,Buena,12,Razonablemente buena,GOOD
03/02/2021,3,2,2021,0,3,Weekday,11,36,82,32,Razonablemente buena,24,Regular,GOOD
04/02/2021,4,2,2021,0,4,Weekday,19,28,62,41,Regular,25,Regular,GOOD
05/02/2021,5,2,2021,0,5,Weekday,25,28,55,58,Desfavorable,26,Desfavorable,BAD
06/02/2021,6,2,2021,0,6,Weekend,36,23,43,79,Desfavorable,28,Desfavorable,BAD
07/02/2021,7,2,2021,0,7,Weekend,36,20,34,23,Razonablemente buena,15,Razonablemente buena,GOOD
08/02/2021,8,2,2021,0,1,Weekday,44,28,55,18,Buena,12,Razonablemente buena,GOOD
09/02/2021,9,2,2021,0,2,Weekday,17,41,85,23,Razonablemente buena,18,Razonablemente buena,GOOD
10/02/2021,10,2,2021,0,3,Weekday,44,32,53,18,Buena,11,Razonablemente buena,GOOD
11/02/2021,11,2,2021,0,4,Weekday,25,34,66,24,Razonablemente buena,17,Razonablemente buena,GOOD
12/02/2021,12,2,2021,0,5,Weekday,29,30,61,24,Razonablemente buena,14,Razonablemente buena,GOOD
13/02/2021,13,2,2021,0,6,Weekend,68,19,31,15,Buena,10,Buena,GOOD
14/02/2021,14,2,2021,0,7,Weekend,48,19,32,22,Razonablemente buena,16,Razonablemente buena,GOOD
15/02/2021,15,2,2021,0,1,Weekday,50,22,40,21,Razonablemente buena,11,Razonablemente buena,GOOD
16/02/2021,16,2,2021,0,2,Weekday,32,30,53,29,Razonablemente buena,17,Razonablemente buena,GOOD
17/02/2021,17,2,2021,0,3,Weekday,38,27,55,31,Razonablemente buena,19,Razonablemente buena,GOOD
18/02/2021,18,2,2021,0,4,Weekday,63,26,42,40,Razonablemente buena,20,Razonablemente buena,GOOD
19/02/2021,19,2,2021,0,5,Weekday,38,29,55,54,Desfavorable,30,Desfavorable,BAD
20/02/2021,20,2,2021,0,6,Weekend,69,20,30,51,Desfavorable,23,Regular,BAD
21/02/2021,21,2,2021,0,7,Weekend,52,22,34,51,Desfavorable,27,Desfavorable,BAD
22/02/2021,22,2,2021,0,1,Weekday,42,28,50,29,Razonablemente buena,13,Razonablemente buena,GOOD
23/02/2021,23,2,2021,0,2,Weekday,49,23,39,17,Buena,14,Razonablemente buena,GOOD
24/02/2021,24,2,2021,0,3,Weekday,41,26,44,27,Razonablemente buena,16,Razonablemente buena,GOOD
25/02/2021,25,2,2021,0,4,Weekday,49,24,42,35,Razonablemente buena,17,Razonablemente buena,GOOD
26/02/2021,26,2,2021,0,5,Weekday,77,16,26,21,Razonablemente buena,12,Razonablemente buena,GOOD
27/02/2021,27,2,2021,0,6,Weekend,67,16,27,39,Razonablemente buena,20,Razonablemente buena,GOOD
28/02/2021,28,2,2021,0,7,Weekend,68,14,23,55,Desfavorable,22,Regular,BAD
01/03/2021,1,3,2021,0,1,Weekday,77,17,27,39,Razonablemente buena,19,Razonablemente buena,GOOD
02/03/2021,2,3,2021,0,2,Weekday,31,33,61,50,Regular,28,Desfavorable,GOOD
03/03/2021,3,3,2021,0,3,Weekday,44,26,48,55,Desfavorable,26,Desfavorable,BAD
04/03/2021,4,3,2021,0,4,Weekday,52,24,43,47,Regular,29,Desfavorable,GOOD
05/03/2021,5,3,2021,0,5,Weekday,59,22,36,41,Regular,24,Regular,GOOD
06/03/2021,6,3,2021,0,6,Weekend,67,17,28,34,Razonablemente buena,21,Regular,GOOD
07/03/2021,7,3,2021,0,7,Weekend,55,16,27,23,Razonablemente buena,12,Razonablemente buena,GOOD
08/03/2021,8,3,2021,0,1,Weekday,38,24,45,29,Razonablemente buena,11,Razonablemente buena,GOOD
09/03/2021,9,3,2021,0,2,Weekday,34,26,48,20,Buena,15,Razonablemente buena,GOOD
10/03/2021,10,3,2021,0,3,Weekday,28,30,58,28,Razonablemente buena,17,Razonablemente buena,GOOD
11/03/2021,11,3,2021,0,4,Weekday,37,29,56,25,Razonablemente buena,15,Razonablemente buena,GOOD
12/03/2021,12,3,2021,0,5,Weekday,39,28,51,26,Razonablemente buena,16,Razonablemente buena,GOOD
13/03/2021,13,3,2021,0,6,Weekend,53,21,35,27,Razonablemente buena,15,Razonablemente buena,GOOD
14/03/2021,14,3,2021,0,7,Weekend,53,20,31,24,Razonablemente buena,12,Razonablemente buena,GOOD
15/03/2021,15,3,2021,0,1,Weekday,50,23,41,22,Razonablemente buena,15,Razonablemente buena,GOOD
16/03/2021,16,3,2021,0,2,Weekday,49,23,45,24,Razonablemente buena,12,Razonablemente buena,GOOD
17/03/2021,17,3,2021,0,3,Weekday,46,26,48,24,Razonablemente buena,13,Razonablemente buena,GOOD
18/03/2021,18,3,2021,0,4,Weekday,22,30,56,28,Razonablemente buena,16,Razonablemente buena,GOOD
19/03/2021,19,3,2021,0,5,Weekday,47,20,34,16,Buena,9,Buena,GOOD
20/03/2021,20,3,2021,0,6,Weekend,70,18,32,27,Razonablemente buena,10,Buena,GOOD
21/03/2021,21,3,2021,0,7,Weekend,59,20,32,25,Razonablemente buena,16,Razonablemente buena,GOOD
22/03/2021,22,3,2021,0,1,Weekday,45,29,56,20,Buena,14,Razonablemente buena,GOOD
23/03/2021,23,3,2021,0,2,Weekday,37,32,55,24,Razonablemente buena,17,Razonablemente buena,GOOD
24/03/2021,24,3,2021,0,3,Weekday,57,25,48,33,Razonablemente buena,17,Razonablemente buena,GOOD
25/03/2021,25,3,2021,0,4,Weekday,56,25,43,44,Regular,20,Razonablemente buena,GOOD
26/03/2021,26,3,2021,0,5,Weekday,76,25,38,66,Desfavorable,19,Razonablemente buena,BAD
27/03/2021,27,3,2021,0,6,Weekend,66,20,32,33,Razonablemente buena,19,Razonablemente buena,GOOD
28/03/2021,28,3,2021,0,7,Weekend,68,17,28,27,Razonablemente buena,15,Razonablemente buena,GOOD
29/03/2021,29,3,2021,0,1,Weekday,61,24,41,24,Razonablemente buena,13,Razonablemente buena,GOOD
30/03/2021,30,3,2021,0,2,Weekday,60,24,43,33,Razonablemente buena,18,Razonablemente buena,GOOD
